 frame1605, 36592, 4.695978029311363  
 frame3012, 60161, 7.720669387336054  
 frame226, 14325, 1.8383768383768386  
 frame232, 6187, 0.7939991273324606  
 frame2318, 49323, 6.3297913297913295  
 frame3006, 52801, 6.776135109468444  
 frame1611, 64371, 8.260953260953261  
 frame1407, 49122, 6.3039963039963025  
 frame1413, 47208, 6.05836605836606  
 frame2907, 41633, 5.3429070095736755  
 frame839, 28769, 3.6920253586920255  
 frame2913, 53076, 6.811426811426812  
 frame811, 17715, 2.273427273427274  
 frame805, 38550, 4.947254947254946  
 frame1215, 38876, 4.9890916557583225  
 frame636, 7801, 1.0011293344626677  
 frame622, 21129, 2.711557711557712  
 frame2708, 51584, 6.619953286619953  
 frame1201, 57874, 7.427170760504095  
 frame2720, 67886, 8.712045378712045  
 frame1229, 45020, 5.777572444239111  
 frame434, 7094, 0.9103975770642437  
 frame1017, 44725, 5.739714073047406  
 frame1003, 25826, 3.314339981006647  
 frame420, 8484, 1.088781088781089  
 frame408, 7857, 1.008316008316008  
 frame409, 7876, 1.0107543440876776  
 frame1002, 36519, 4.686609686609686  
 frame421, 9066, 1.1634711634711636  
 frame435, 11439, 1.4680064680064677  
 frame1016, 47332, 6.074279407612741  
 frame1228, 41919, 5.37961037961038  
 frame623, 16082, 2.0638587305253973  
 frame1200, 50088, 6.427966427966426  
 frame2709, 47970, 6.156156156156157  
 frame1214, 72062, 9.247965914632582  
 frame637, 10757, 1.3804830471497143  
 frame804, 56932, 7.306280639613973  
 frame810, 23467, 3.0116013449346792  
 frame838, 30082, 3.860527193860527  
 frame2906, 73870, 9.479992813326147  
 frame1412, 58223, 7.471959138625804  
 frame1406, 45111, 5.789250789250789  
 frame233, 9930, 1.2743512743512746  
 frame1610, 65300, 8.380175046841712  
 frame3007, 35561, 4.563666230332898  
 frame2319, 71718, 9.2038192038192  
 frame3013, 50118, 6.431816431816431  
 frame1604, 53709, 6.892661892661892  
 frame227, 7432, 0.9537742871076204  
 frame1809, 42629, 5.470727137393806  
 frame3005, 53681, 6.889068555735224  
 frame1612, 43471, 5.578783912117245  
 frame231, 4783, 0.6138189471522806  
 frame225, 14784, 1.8972818972818972  
 frame1606, 51713, 6.6365083031749705  
 frame3011, 52287, 6.71017171017171  
 frame219, 6462, 0.8292908292908293  
 frame2119, 38701, 4.966633299966629  
 frame1404, 43373, 5.5662072328739  
 frame1438, 40518, 5.1998151998152  
 frame2910, 72073, 9.249377582710915  
 frame2904, 47577, 6.1057211057211065  
 frame806, 37869, 4.859859859859859  
 frame812, 26498, 3.4005800672467337  
 frame1202, 40406, 5.18544185210852  
 frame621, 15762, 2.022792022792023  
 frame635, 12101, 1.552963219629886  
 frame1216, 54938, 7.050383717050384  
 frame609, 10568, 1.35622802289469  
 frame423, 12684, 1.6277816277816275  
 frame1000, 25075, 3.217961551294884  
 frame2509, 62651, 8.040219706886372  
 frame1014, 34244, 4.394651061317728  
 frame437, 12397, 1.5909499242832579  
 frame1028, 38125, 4.89271322604656  
 frame2520, 64693, 8.30227663560997  
 frame1029, 36152, 4.639511306177973  
 frame1015, 38925, 4.995379995379994  
 frame436, 15529, 1.9928903262236595  
 frame422, 11739, 1.5065065065065062  
 frame2508, 45951, 5.897050897050898  
 frame1001, 35653, 4.575472908806243  
 frame608, 15825, 2.0308770308770314  
 frame634, 10589, 1.3589230255896925  
 frame1217, 62380, 8.005441338774673  
 frame1203, 41455, 5.320063653396986  
 frame620, 20599, 2.6435409768743092  
 frame813, 43682, 5.605862272528939  
 frame807, 57381, 7.3639023639023655  
 frame2905, 58891, 7.557685891019224  
 frame2911, 44488, 5.709299042632376  
 frame1439, 52578, 6.747516747516746  
 frame1405, 53331, 6.8441518441518445  
 frame2118, 38452, 4.934678268011603  
 frame1411, 43396, 5.569158902492236  
 frame218, 5438, 0.6978773645440312  
 frame224, 10351, 1.3283796617129948  
 frame3010, 55683, 7.145992145992147  
 frame1607, 58416, 7.4967274967274955  
 frame1613, 51495, 6.608531608531609  
 frame3004, 41023, 5.264623597956931  
 frame230, 9343, 1.1990195323528658  
 frame1820, 45149, 5.794127460794125  
 frame1808, 66785, 8.570750237416906  
 frame1818, 49326, 6.33017633017633  
 frame208, 4070, 0.5223171889838555  
 frame234, 17950, 2.3035856369189704  
 frame3000, 53848, 6.910500243833576  
 frame1617, 53204, 6.82785349452016  
 frame1603, 70596, 9.059829059829058  
 frame3014, 50900, 6.532173198839867  
 frame220, 5726, 0.7348374015040682  
 frame2120, 50529, 6.484561484561486  
 frame1429, 52026, 6.676676676676677  
 frame1415, 65813, 8.44601011267678  
 frame2108, 29012, 3.723210389877056  
 frame1401, 52490, 6.7362234028900705  
 frame803, 61929, 7.947562947562945  
 frame817, 20508, 2.6318626318626315  
 frame2915, 54094, 6.942070275403606  
 frame2901, 57583, 7.389825723159056  
 frame618, 15167, 1.9464336131002802  
 frame624, 14120, 1.8120684787351453  
 frame1207, 36245, 4.651446318112986  
 frame1213, 52020, 6.675906675906675  
 frame630, 8165, 1.0478427145093812  
 frame1039, 53380, 6.850440183773515  
 frame1005, 42947, 5.511537178203842  
 frame426, 10194, 1.308231308231308  
 frame432, 7322, 0.9396576063242729  
 frame2518, 76830, 9.859859859859856  
 frame1011, 34109, 4.377326043992713  
 frame433, 8755, 1.1235594568927905  
 frame1010, 36931, 4.739483072816407  
 frame2519, 64316, 8.253894920561587  
 frame1004, 37109, 4.762326428993095  
 frame427, 7590, 0.9740509740509742  
 frame1038, 39011, 5.00641667308334  
 frame1212, 35657, 4.57598624265291  
