I,H,S,P
1 , 47 , 25115 , 4.2570682758153096
2 , 66 , 25327 , 4.293002915451895
3 , 71 , 25968 , 4.40165434944742
4 , 147 , 27172 , 4.605735982100482
5 , 97 , 27717 , 4.698115126449252
6 , 99 , 27847 , 4.720150518679233
7 , 95 , 28513 , 4.8330395281036
8 , 102 , 29448 , 4.991524849142315
9 , 110 , 29730 , 5.039324699979661
10 , 84 , 29629 , 5.022204895247135
11 , 116 , 29504 , 5.001017018102922
12 , 116 , 29067 , 4.926944199606753
13 , 108 , 30049 , 5.093396162451693
14 , 112 , 28995 , 4.914739982371686
15 , 65 , 28302 , 4.797274391484171
16 , 70 , 28327 , 4.801511966913011
17 , 39 , 27254 , 4.619635229507086
18 , 177 , 27151 , 4.602176418740253
19 , 176 , 28638 , 4.854227405247812
20 , 153 , 28906 , 4.899654213845005
21 , 185 , 28378 , 4.81015662078785
22 , 183 , 26977 , 4.57268289375551
23 , 184 , 27761 , 4.705573259204014
24 , 184 , 27479 , 4.657773408366669
25 , 185 , 26111 , 4.425893280900399
26 , 154 , 28483 , 4.827954437588989
27 , 157 , 28298 , 4.796596379415555
28 , 97 , 28080 , 4.759644721676045
29 , 166 , 31963 , 5.417824937283884
30 , 242 , 31125 , 5.275781408909078
31 , 196 , 27956 , 4.738626347548988
32 , 371 , 35185 , 5.963963658553123
33 , 368 , 34853 , 5.907688656858092
34 , 371 , 35263 , 5.977184893891113
35 , 238 , 34456 , 5.840395959048072
36 , 410 , 37710 , 6.391958776866228
37 , 413 , 38841 , 6.583666689267069
38 , 239 , 31569 , 5.351040748525324
39 , 388 , 38739 , 6.566377381517392
40 , 252 , 35038 , 5.939046715031526
41 , 252 , 36150 , 6.127534070106449
42 , 289 , 38275 , 6.487727981558072
43 , 299 , 39971 , 6.775205098650755
44 , 307 , 35186 , 5.964133161570274
45 , 389 , 37002 , 6.271950640721404
46 , 345 , 41893 , 7.100989897620178
47 , 335 , 34700 , 5.881754695233574
48 , 402 , 43547 , 7.3813478879924075
49 , 417 , 43229 , 7.327445928537528
50 , 389 , 43538 , 7.379822360838023
51 , 345 , 43397 , 7.35592243541935
52 , 339 , 38630 , 6.547901552647637
53 , 350 , 43555 , 7.382703912129635
54 , 289 , 38420 , 6.512305919045359
55 , 319 , 38965 , 6.60468506339413
56 , 336 , 35825 , 6.072445589531491
57 , 409 , 38962 , 6.604176554342668
58 , 303 , 39835 , 6.752152688317852
59 , 307 , 43216 , 7.325242389314529
60 , 288 , 42007 , 7.120313241575699
61 , 304 , 39514 , 6.697742219811513
62 , 296 , 49589 , 8.405485117635092
63 , 308 , 51965 , 8.8082242863923
64 , 267 , 46427 , 7.869516577395077
65 , 349 , 49947 , 8.466167197776118
66 , 336 , 51678 , 8.759576920469186
67 , 326 , 53016 , 8.986371957420841
68 , 380 , 44702 , 7.577123872804937
69 , 260 , 41706 , 7.069292833412433
70 , 281 , 35673 , 6.04668113092413
71 , 276 , 37478 , 6.3526340768865674
72 , 319 , 36402 , 6.170248830429181
73 , 260 , 38448 , 6.517052003525661
74 , 358 , 45465 , 7.7064546748932115
75 , 516 , 64223 , 10.885992270662415
76 , 498 , 53541 , 9.07536104142654
77 , 316 , 46812 , 7.934775238999255
78 , 295 , 50164 , 8.502949352498474
79 , 468 , 59414 , 10.070852261170252
80 , 408 , 44542 , 7.550003390060344
81 , 498 , 48805 , 8.27259475218659
82 , 342 , 49660 , 8.417519831853006
83 , 357 , 44255 , 7.5013560241372295
84 , 309 , 52662 , 8.92636788934843
85 , 391 , 45410 , 7.697132008949759
86 , 356 , 49798 , 8.440911248220216
87 , 382 , 53018 , 8.98671096345515
88 , 441 , 58002 , 9.831514000949214
