I,H,S,P
1 , 38 , 23732 , 6.6453853046594995
2 , 160 , 27163 , 7.606126792114696
3 , 158 , 29788 , 8.34117383512545
4 , 90 , 18126 , 5.075604838709678
5 , 111 , 27171 , 7.608366935483869
6 , 46 , 16970 , 4.7519041218638
7 , 86 , 15581 , 4.362959229390682
8 , 118 , 20360 , 5.701164874551971
9 , 310 , 21437 , 6.002744175627242
10 , 264 , 17210 , 4.8191084229390695
11 , 205 , 30654 , 8.58366935483871
12 , 268 , 21729 , 6.084509408602151
13 , 116 , 16893 , 4.730342741935484
14 , 246 , 22297 , 6.243559587813619
15 , 135 , 11483 , 3.2154457885304657
16 , 380 , 31901 , 8.932851702508957
17 , 310 , 20276 , 5.6776433691756285
18 , 135 , 17929 , 5.020441308243727
19 , 238 , 24132 , 6.75739247311828
20 , 393 , 28966 , 8.110999103942653
21 , 280 , 20604 , 5.769489247311827
22 , 299 , 29412 , 8.235887096774194
23 , 286 , 22114 , 6.192316308243729
24 , 412 , 35501 , 9.940916218637993
25 , 437 , 29927 , 8.380096326164873
26 , 356 , 25858 , 7.24070340501792
27 , 294 , 25253 , 7.071292562724015
28 , 246 , 20097 , 5.627520161290325
29 , 351 , 31664 , 8.86648745519713
30 , 457 , 29888 , 8.369175627240145
31 , 458 , 19456 , 5.448028673835124
32 , 457 , 30787 , 8.620911738351253
33 , 136 , 23794 , 6.6627464157706076
34 , 442 , 31997 , 8.959733422939072
35 , 192 , 28325 , 7.931507616487456
36 , 227 , 19094 , 5.346662186379929
37 , 359 , 31648 , 8.862007168458781
38 , 422 , 29458 , 8.248767921146955
39 , 288 , 21787 , 6.100750448028675
40 , 352 , 19786 , 5.540434587813619
41 , 367 , 23555 , 6.595822132616488
42 , 270 , 24540 , 6.871639784946234
43 , 372 , 27195 , 7.615087365591397
44 , 291 , 19000 , 5.320340501792114
45 , 437 , 24507 , 6.862399193548384
46 , 105 , 9462 , 2.6495295698924735
47 , 385 , 29951 , 8.386816756272403
48 , 431 , 49770 , 13.93649193548387
49 , 458 , 49871 , 13.964773745519715
50 , 295 , 27187 , 7.612847222222223
51 , 242 , 15996 , 4.479166666666666
52 , 450 , 23613 , 6.612063172043012
53 , 414 , 25879 , 7.246583781362006
54 , 427 , 28695 , 8.035114247311828
55 , 378 , 32043 , 8.972614247311824
56 , 326 , 21127 , 5.915938620071685
57 , 302 , 24224 , 6.783154121863799
58 , 454 , 21522 , 6.026545698924728
59 , 269 , 19461 , 5.449428763440861
60 , 459 , 22984 , 6.4359318996415755
61 , 404 , 30289 , 8.481462813620073
62 , 333 , 33683 , 9.43184363799283
63 , 398 , 43980 , 12.315188172043007
64 , 427 , 32080 , 8.982974910394267
65 , 423 , 21484 , 6.015905017921147
66 , 454 , 27165 , 7.60668682795699
67 , 460 , 38020 , 10.64628136200717
68 , 388 , 30652 , 8.583109318996415
69 , 343 , 23674 , 6.629144265232976
70 , 153 , 24835 , 6.9542450716845865
71 , 150 , 28490 , 7.9777105734767035
72 , 440 , 43402 , 12.153337813620071
73 , 466 , 15934 , 4.4618055555555545
74 , 369 , 17108 , 4.790546594982079
75 , 426 , 29546 , 8.273409498207885
76 , 250 , 14159 , 3.9647737455197123
77 , 499 , 33651 , 9.422883064516132
78 , 503 , 28807 , 8.066476254480287
79 , 370 , 27226 , 7.623767921146952
80 , 430 , 27982 , 7.835461469534052
81 , 315 , 21862 , 6.1217517921146944
82 , 369 , 23672 , 6.628584229390682
83 , 343 , 27798 , 7.783938172043011
84 , 354 , 23843 , 6.67646729390681
85 , 439 , 35128 , 9.836469534050181
86 , 397 , 27382 , 7.667450716845879
87 , 372 , 22728 , 6.364247311827958
88 , 391 , 29023 , 8.126960125448027
89 , 470 , 25653 , 7.183299731182798
90 , 441 , 23769 , 6.655745967741936
91 , 454 , 27680 , 7.7508960573476715
92 , 406 , 23104 , 6.469534050179211
93 , 495 , 24617 , 6.893201164874553
94 , 498 , 34467 , 9.651377688172042
95 , 500 , 22118 , 6.193436379928314
96 , 500 , 24810 , 6.947244623655915
97 , 362 , 29272 , 8.196684587813621
98 , 297 , 22673 , 6.3488463261648755
99 , 576 , 38845 , 10.877296146953405
100 , 501 , 27761 , 7.773577508960574
