I,H,S,P
150 , 672 , 70712 , 10.768762183235863
151 , 823 , 92292 , 14.055190058479534
152 , 813 , 82770 , 12.605080409356724
153 , 855 , 78195 , 11.908351608187132
154 , 851 , 77037 , 11.731999269005847
155 , 616 , 59584 , 9.074074074074073
156 , 852 , 69595 , 10.598653752436643
157 , 663 , 60488 , 9.211744639376219
158 , 787 , 82430 , 12.553301656920077
159 , 532 , 55509 , 8.453490497076023
160 , 810 , 93499 , 14.239004629629626
161 , 859 , 86401 , 13.158047027290447
162 , 860 , 101805 , 15.503929093567253
163 , 1005 , 96520 , 14.699074074074076
164 , 807 , 92548 , 14.094176413255358
165 , 1032 , 133739 , 20.367172270955162
166 , 945 , 165141 , 25.149396929824558
167 , 1021 , 149906 , 22.82925194931774
168 , 975 , 118947 , 18.11449195906432
169 , 809 , 82802 , 12.609953703703706
170 , 1012 , 139752 , 21.282894736842113
171 , 908 , 118864 , 18.10185185185185
172 , 947 , 131521 , 20.029392056530213
173 , 948 , 197639 , 30.09853192007797
174 , 985 , 121918 , 18.566946881091617
175 , 889 , 177080 , 26.967592592592595
176 , 1080 , 96141 , 14.641355994152045
177 , 1080 , 104958 , 15.984100877192983
178 , 792 , 85351 , 12.998142056530211
179 , 1080 , 117269 , 17.858948586744635
180 , 1018 , 100260 , 15.268640350877194
181 , 1079 , 90744 , 13.819444444444441
182 , 1052 , 81171 , 12.361567982456137
183 , 922 , 63563 , 9.68003776803119
184 , 896 , 183955 , 28.014589424951275
185 , 1027 , 197514 , 30.079495614035093
186 , 1080 , 144009 , 21.931195175438596
187 , 890 , 165818 , 25.252497563352833
188 , 1080 , 183831 , 27.995705409356724
189 , 934 , 155804 , 23.727461013645232
190 , 973 , 161301 , 24.56460160818714
191 , 914 , 101387 , 15.440271686159845
192 , 891 , 106402 , 16.204008284600388
193 , 846 , 93580 , 14.251340155945423
194 , 645 , 91371 , 13.914930555555559
195 , 1080 , 125806 , 19.15905214424952
196 , 918 , 116656 , 17.765594541910332
197 , 1010 , 165354 , 25.18183479532164
198 , 1080 , 154572 , 23.53983918128655
199 , 1072 , 152962 , 23.294651559454184
200 , 904 , 110031 , 16.756670321637422
201 , 1080 , 106717 , 16.251979775828456
202 , 790 , 94254 , 14.353983918128655
203 , 1075 , 99007 , 15.07782041910331
204 , 1080 , 133436 , 20.321028265107206
205 , 943 , 145534 , 22.163438109161792
206 , 980 , 124146 , 18.90625
207 , 907 , 150287 , 22.887274610136455
208 , 824 , 101213 , 15.413773148148145
209 , 1080 , 97652 , 14.871466861598444
210 , 1080 , 116782 , 17.784783138401554
211 , 1080 , 97029 , 14.776589912280699
212 , 978 , 117222 , 17.85179093567252
213 , 694 , 74176 , 11.296296296296296
214 , 1080 , 103728 , 15.796783625730997
215 , 920 , 107570 , 16.381883528265103
216 , 943 , 104143 , 15.859984161793374
217 , 1080 , 140051 , 21.328429580896685
218 , 944 , 87669 , 13.35115131578947
219 , 715 , 163517 , 24.9020772417154
220 , 850 , 127899 , 19.477796052631575
221 , 635 , 138890 , 21.15162037037037
222 , 864 , 100696 , 15.335038986354778
223 , 1011 , 95411 , 14.5301839668616
224 , 906 , 103494 , 15.761147660818715
225 , 792 , 102418 , 15.597283138401563
226 , 890 , 100232 , 15.264376218323585
227 , 1046 , 115400 , 17.574317738791418
228 , 880 , 97354 , 14.826084307992204
229 , 848 , 93730 , 14.274183723196881
230 , 1080 , 128948 , 19.63754873294347
231 , 830 , 115662 , 17.61421783625731
232 , 888 , 155090 , 23.618725633528264
233 , 893 , 153345 , 23.35297880116959
234 , 881 , 147337 , 22.438017787524362
235 , 879 , 140634 , 21.417214912280695
236 , 863 , 119613 , 18.21591739766082
237 , 872 , 130993 , 19.94898269980507
238 , 995 , 109242 , 16.63651315789474
239 , 1080 , 196733 , 29.960556773879144
240 , 928 , 153194 , 23.329982943469798
241 , 920 , 158627 , 24.157376949317737
242 , 1066 , 157946 , 24.053667153996102
243 , 1046 , 197978 , 30.150158382066277
244 , 799 , 83142 , 12.661732456140347
245 , 585 , 65004 , 9.89948830409357
246 , 1080 , 97410 , 14.834612573099417
247 , 903 , 160281 , 24.40926535087719
248 , 1054 , 184734 , 28.133223684210527
249 , 806 , 139023 , 21.171875
250 , 1080 , 163522 , 24.902838693957108
251 , 893 , 126473 , 19.260629873294345
252 , 860 , 155720 , 23.71466861598441
253 , 858 , 144181 , 21.957389132553605
254 , 819 , 114815 , 17.485227826510723
255 , 1080 , 236584 , 36.02948343079923
256 , 819 , 130153 , 19.82105872319688
257 , 860 , 170080 , 25.901559454191034
258 , 828 , 153515 , 23.37886817738792
259 , 1080 , 189043 , 28.789443226120863
260 , 859 , 173683 , 26.450261939571153
261 , 898 , 171907 , 26.179794103313842
262 , 994 , 155107 , 23.6213145711501
263 , 899 , 176184 , 26.831140350877195
264 , 909 , 161329 , 24.56886574074073
265 , 1080 , 172062 , 26.203399122807014
266 , 910 , 139034 , 21.17355019493178
267 , 867 , 150594 , 22.93402777777778
268 , 924 , 142475 , 21.697581627680307
269 , 1080 , 128246 , 19.53064083820663
270 , 1080 , 143738 , 21.88992446393763
271 , 904 , 167154 , 25.45595760233918
272 , 1080 , 168042 , 25.591191520467834
273 , 954 , 148712 , 22.647417153996102
274 , 904 , 124496 , 18.959551656920073
275 , 954 , 123579 , 18.819901315789465
276 , 901 , 150558 , 22.928545321637426
277 , 835 , 146121 , 22.25283260233918
278 , 868 , 156239 , 23.793707358674467
279 , 869 , 157957 , 24.05534234892787
280 , 870 , 171403 , 26.103039717348924
281 , 871 , 171090 , 26.055372807017545
282 , 870 , 165440 , 25.19493177387914
283 , 871 , 158049 , 24.069353070175435
284 , 871 , 173392 , 26.40594541910331
285 , 872 , 177052 , 26.96332846003899
286 , 865 , 163849 , 24.952637670565302
287 , 864 , 127021 , 19.344085038986353
288 , 1080 , 178532 , 27.188718323586745
289 , 828 , 131964 , 20.0968567251462
290 , 832 , 143841 , 21.90561038011696
291 , 834 , 143236 , 21.813474658869392
292 , 868 , 152493 , 23.223227339181292
293 , 868 , 142245 , 21.662554824561404
294 , 869 , 150413 , 22.906463206627677
295 , 835 , 143630 , 21.873477095516574
296 , 871 , 156221 , 23.790966130604286
297 , 872 , 147340 , 22.4384746588694
298 , 873 , 136758 , 20.826937134502923
299 , 614 , 133488 , 20.328947368421062
300 , 655 , 135518 , 20.638096978557506
301 , 654 , 136758 , 20.826937134502927
302 , 648 , 126046 , 19.195601851851844
303 , 875 , 132297 , 20.147569444444443
304 , 851 , 138330 , 21.066337719298247
305 , 655 , 139207 , 21.199896442495128
306 , 652 , 123142 , 18.753350389863552
307 , 868 , 141782 , 21.592044346978554
308 , 864 , 135342 , 20.611293859649123
309 , 781 , 143785 , 21.89708211500975
310 , 780 , 131696 , 20.056042884990248
311 , 780 , 135021 , 20.562408625730995
312 , 780 , 134743 , 20.52007188109162
313 , 779 , 131764 , 20.066398635477587
314 , 780 , 125815 , 19.1604227582846
315 , 791 , 135520 , 20.63840155945418
316 , 781 , 135677 , 20.66231115984406
317 , 785 , 138479 , 21.089028996101362
318 , 750 , 123768 , 18.848684210526315
319 , 784 , 134002 , 20.407224658869396
320 , 782 , 136516 , 20.7900828460039
321 , 751 , 127379 , 19.398605019493175
322 , 639 , 124261 , 18.923763401559455
323 , 639 , 127060 , 19.350024366471736
324 , 642 , 133000 , 20.254629629629633
325 , 638 , 123743 , 18.84487694931774
326 , 641 , 132102 , 20.117872807017548
327 , 666 , 132204 , 20.133406432748536
328 , 662 , 117844 , 17.946515594541914
329 , 656 , 121706 , 18.53466130604289
330 , 699 , 127980 , 19.490131578947377
331 , 672 , 119943 , 18.26617324561403
332 , 673 , 120465 , 18.345668859649127
333 , 635 , 120721 , 18.38465521442495
334 , 663 , 120370 , 18.331201267056528
335 , 634 , 118995 , 18.12180190058479
336 , 633 , 118305 , 18.016721491228072
337 , 661 , 114996 , 17.51279239766082
338 , 664 , 122202 , 18.610197368421048
339 , 371 , 117322 , 17.86701998050683
340 , 652 , 122498 , 18.655275341130608
341 , 188 , 104492 , 15.913133528265105
342 , 339 , 109314 , 16.647478070175442
343 , 331 , 108502 , 16.523818226120856
344 , 611 , 112653 , 17.155975877192983
345 , 370 , 109024 , 16.603313840155945
346 , 675 , 119293 , 18.167184454191034
347 , 631 , 116200 , 17.696150097465882
348 , 630 , 113537 , 17.290600633528268
349 , 379 , 110517 , 16.830683479532173
350 , 627 , 111121 , 16.922666910331383
351 , 629 , 106787 , 16.262640107212473
352 , 351 , 107624 , 16.39010721247563
353 , 305 , 104902 , 15.975572612085776
354 , 338 , 111337 , 16.955561647173486
355 , 266 , 110181 , 16.77951388888889
356 , 348 , 107228 , 16.329800194931774
357 , 338 , 107614 , 16.388584307992208
358 , 324 , 110614 , 16.845455653021443
359 , 265 , 113519 , 17.28785940545809
360 , 336 , 113843 , 17.337201510721247
361 , 183 , 107057 , 16.303758528265103
362 , 144 , 100148 , 15.25158382066277
363 , 336 , 109260 , 16.639254385964914
364 , 333 , 111567 , 16.990588450292393
365 , 208 , 109502 , 16.676108674463936
366 , 256 , 108641 , 16.544986598440545
367 , 333 , 104913 , 15.977247807017546
368 , 206 , 105885 , 16.125274122807017
369 , 333 , 109803 , 16.721948099415208
370 , 330 , 105108 , 16.006944444444446
