I,H,S,P
148 , 200 , 11886 , 2.5915750915750926
149 , 208 , 10329 , 2.2520931449502872
150 , 211 , 14078 , 3.069509855224141
151 , 197 , 8870 , 1.9339787196930054
152 , 191 , 8992 , 1.9605791034362468
153 , 275 , 10875 , 2.3711407639979067
154 , 259 , 9595 , 2.0920547706261985
155 , 202 , 12247 , 2.670286063143207
156 , 202 , 12266 , 2.674428745857317
157 , 107 , 9402 , 2.0499738356881214
158 , 170 , 11322 , 2.4686028257456827
159 , 200 , 9526 , 2.077010291296005
160 , 184 , 10598 , 2.3107448107448105
161 , 186 , 11769 , 2.5660648874934586
162 , 388 , 16293 , 3.5524594453165883
163 , 227 , 15304 , 3.3368219082504793
164 , 182 , 9890 , 2.156375370661085
165 , 256 , 15960 , 3.4798534798534804
166 , 196 , 9881 , 2.1544130472701895
167 , 223 , 10904 , 2.3774638060352347
168 , 188 , 11890 , 2.592447235304379
169 , 273 , 11736 , 2.558869701726845
170 , 304 , 9800 , 2.1367521367521363
171 , 203 , 16089 , 3.5079801151229715
172 , 215 , 12273 , 2.6759549973835686
173 , 188 , 9343 , 2.037109715681144
174 , 193 , 10269 , 2.2390109890109895
175 , 232 , 11562 , 2.520931449502878
176 , 215 , 12016 , 2.6199197627769064
177 , 188 , 10897 , 2.3759375545089827
178 , 195 , 11883 , 2.590920983778126
179 , 305 , 17094 , 3.7271062271062276
180 , 318 , 16059 , 3.501439037153322
181 , 256 , 13703 , 2.987746380603524
182 , 268 , 12461 , 2.716945752660038
183 , 202 , 12551 , 2.7365689865689857
184 , 141 , 13611 , 2.967687074829932
185 , 341 , 12642 , 2.7564102564102564
186 , 197 , 10175 , 2.2185156113727538
187 , 204 , 10779 , 2.3502093144950296
188 , 172 , 10211 , 2.2263649049363337
189 , 110 , 13701 , 2.9873103087388806
190 , 268 , 16068 , 3.5034013605442187
191 , 204 , 13209 , 2.8800366300366296
192 , 239 , 12630 , 2.7537938252223966
193 , 175 , 10891 , 2.374629338915053
194 , 202 , 11975 , 2.6109802895517187
195 , 204 , 11627 , 2.535103785103785
196 , 211 , 13826 , 3.014564800279085
197 , 176 , 9219 , 2.01007326007326
198 , 235 , 14933 , 3.2559305773591487
199 , 249 , 10125 , 2.2076138147566717
200 , 173 , 11547 , 2.517660910518054
201 , 215 , 12867 , 2.805468341182628
202 , 203 , 14234 , 3.103523460666318
203 , 277 , 14681 , 3.2009855224140935
204 , 201 , 15526 , 3.385225885225885
205 , 152 , 8265 , 1.8020669806384098
206 , 132 , 10428 , 2.2736787022501312
207 , 268 , 16729 , 3.6475231118088267
208 , 259 , 13402 , 2.922117564974708
209 , 183 , 11110 , 2.4223792080934943
210 , 228 , 14056 , 3.064713064713065
211 , 152 , 10956 , 2.3888016745159604
212 , 250 , 12508 , 2.7271934414791565
213 , 251 , 11249 , 2.452686202686202
214 , 172 , 13093 , 2.8547444618873192
215 , 244 , 12814 , 2.7939124367695793
216 , 294 , 10773 , 2.3489010989010994
217 , 179 , 10140 , 2.2108843537414966
218 , 360 , 17069 , 3.7216553287981857
219 , 346 , 14311 , 3.120312227455085
220 , 167 , 11280 , 2.4594453165881736
221 , 304 , 16278 , 3.5491889063317634
222 , 196 , 10813 , 2.3576225361939653
223 , 247 , 13263 , 2.8918105703819985
224 , 266 , 18235 , 3.975885225885227
225 , 329 , 14700 , 3.2051282051282053
226 , 279 , 15882 , 3.462846677132392
227 , 246 , 10251 , 2.2350863422291996
228 , 262 , 14844 , 3.2365253793825217
229 , 160 , 11363 , 2.47754229897087
230 , 225 , 14583 , 3.179618001046573
231 , 265 , 12661 , 2.7605529391243677
232 , 173 , 11923 , 2.5996424210709934
233 , 145 , 11481 , 2.503270538984825
234 , 292 , 12733 , 2.7762515262515266
235 , 246 , 12776 , 2.7856270713413567
236 , 258 , 13100 , 2.85627071341357
237 , 296 , 16432 , 3.5827664399092978
238 , 303 , 14412 , 3.142333856619571
239 , 319 , 18418 , 4.015785801500087
240 , 343 , 17562 , 3.8291470434327577
241 , 258 , 13129 , 2.8625937554508987
242 , 99 , 10660 , 2.324263038548753
243 , 226 , 11568 , 2.5222396650968077
244 , 200 , 14366 , 3.1323042037327746
245 , 337 , 9413 , 2.052372230943659
246 , 208 , 13615 , 2.9685592185592182
247 , 195 , 11063 , 2.4121315192743773
248 , 236 , 14576 , 3.1780917495203207
249 , 329 , 12685 , 2.7657858015000865
250 , 258 , 9649 , 2.1038287109715683
251 , 320 , 19183 , 4.182583289726146
252 , 155 , 11325 , 2.4692569335426477
253 , 260 , 11075 , 2.4147479504622362
254 , 195 , 10324 , 2.2510029652886794
255 , 208 , 14364 , 3.1318681318681323
256 , 268 , 14071 , 3.0679836036978894
257 , 214 , 13268 , 2.892900750043608
258 , 300 , 13308 , 2.9016221873364736
259 , 226 , 10491 , 2.287414965986395
260 , 258 , 13171 , 2.8717512646084087
261 , 209 , 12159 , 2.651098901098901
262 , 168 , 10597 , 2.3105267748124887
263 , 289 , 15193 , 3.3126199197627764
264 , 333 , 14037 , 3.060570381998953
265 , 255 , 15112 , 3.294959009244724
266 , 240 , 14059 , 3.065367172510029
267 , 210 , 11337 , 2.471873364730508
268 , 205 , 16032 , 3.4955520669806384
269 , 316 , 13248 , 2.888540031397174
270 , 192 , 10397 , 2.266919588348159
271 , 344 , 16678 , 3.636403279260423
272 , 327 , 16577 , 3.614381650095936
273 , 232 , 15296 , 3.335077620791906
274 , 195 , 11808 , 2.5745682888540027
275 , 237 , 13581 , 2.961145996860283
276 , 267 , 11847 , 2.583071690214547
277 , 322 , 18524 , 4.038897610326182
278 , 342 , 17747 , 3.8694836909122627
279 , 318 , 18465 , 4.026033490319205
280 , 240 , 15269 , 3.329190650619222
281 , 307 , 13084 , 2.8527821384964245
282 , 256 , 13946 , 3.0407291121576847
283 , 229 , 12403 , 2.7042996685853824
284 , 192 , 12373 , 2.697758590615733
285 , 288 , 11265 , 2.4561747776033482
286 , 231 , 9626 , 2.09881388452817
287 , 253 , 17055 , 3.7186028257456827
288 , 213 , 12645 , 2.757064364207222
289 , 250 , 12897 , 2.8120094191522766
290 , 240 , 11499 , 2.5071951857666153
291 , 214 , 13632 , 2.9722658294086854
292 , 237 , 14908 , 3.2504796790511077
293 , 264 , 11433 , 2.4928048142333856
294 , 192 , 11402 , 2.4860457003314145
295 , 254 , 13833 , 3.016091051805337
296 , 182 , 13756 , 2.99930228501657
297 , 250 , 14603 , 3.1839787196930063
298 , 172 , 12555 , 2.7374411302982735
299 , 358 , 14800 , 3.2269317983603703
300 , 196 , 11539 , 2.5159166230594794
301 , 291 , 17750 , 3.870137798709227
302 , 202 , 11366 , 2.478196406767835
303 , 208 , 10825 , 2.3602389673818247
304 , 248 , 12032 , 2.6234083376940522
305 , 247 , 12885 , 2.8093929879644155
306 , 132 , 7203 , 1.5705128205128203
307 , 146 , 7900 , 1.7224838653410082
308 , 338 , 12891 , 2.810701203558347
309 , 242 , 16250 , 3.543083900226758
310 , 307 , 15342 , 3.345107273678702
311 , 174 , 12771 , 2.784536891679749
312 , 229 , 14385 , 3.136446886446886
313 , 239 , 9718 , 2.1188731903017617
314 , 250 , 10397 , 2.266919588348159
315 , 223 , 16399 , 3.5755712541426834
316 , 339 , 13141 , 2.865210186638758
317 , 183 , 14294 , 3.1166056166056157
318 , 243 , 12974 , 2.828798185941044
319 , 109 , 10954 , 2.3883656026513176
320 , 251 , 10465 , 2.2817460317460316
321 , 316 , 11796 , 2.5719518576661433
322 , 192 , 12319 , 2.6859846502703646
323 , 254 , 13407 , 2.9232077446363163
324 , 291 , 10834 , 2.3622012907727195
325 , 201 , 12142 , 2.647392290249434
326 , 229 , 11323 , 2.468820861678004
327 , 258 , 13928 , 3.0368044653758943
328 , 273 , 12635 , 2.7548840048840044
329 , 216 , 10830 , 2.3613291470434334
330 , 164 , 8595 , 1.8740188383045528
331 , 320 , 13579 , 2.9607099249956392
332 , 290 , 15973 , 3.4826879469736602
333 , 213 , 11047 , 2.4086429443572297
334 , 254 , 11345 , 2.473617652189081
335 , 180 , 13864 , 3.022850165707308
336 , 298 , 15818 , 3.448892377463806
337 , 123 , 8271 , 1.8033751962323392
338 , 201 , 15181 , 3.310003488574917
339 , 248 , 18479 , 4.029085993371709
340 , 316 , 13698 , 2.986656200941915
341 , 290 , 16201 , 3.532400139542997
342 , 279 , 15408 , 3.359497645211931
343 , 163 , 11910 , 2.5968079539508118
344 , 243 , 10252 , 2.23530437816152
345 , 166 , 8594 , 1.873800802372231
346 , 340 , 20804 , 4.536019536019536
347 , 169 , 14434 , 3.1471306471306466
348 , 289 , 15808 , 3.44671201814059
349 , 268 , 15653 , 3.4129164486307344
350 , 313 , 16720 , 3.6455607884179315
351 , 231 , 12069 , 2.631475667189953
352 , 233 , 17379 , 3.7892464678178963
353 , 271 , 9917 , 2.162262340833769
354 , 246 , 15014 , 3.273591487877202
355 , 315 , 17179 , 3.7456392813535673
356 , 212 , 11631 , 2.535975928833072
357 , 178 , 14971 , 3.2642159427873714
358 , 238 , 13514 , 2.946537589394732
359 , 168 , 13779 , 3.0043171114599674
360 , 370 , 19388 , 4.227280655852085
361 , 236 , 17400 , 3.7938252223966504
362 , 190 , 12387 , 2.7008110936682366
363 , 153 , 12304 , 2.6827141112855397
364 , 208 , 11766 , 2.565410779696494
365 , 222 , 10458 , 2.2802197802197792
366 , 259 , 16262 , 3.5457003314146176
367 , 174 , 12562 , 2.7389673818245255
368 , 191 , 13040 , 2.843188557474272
369 , 169 , 12383 , 2.69993894993895
370 , 244 , 11850 , 2.5837257980115123
371 , 297 , 15970 , 3.482033839176697
372 , 215 , 14339 , 3.1264172335600904
373 , 209 , 11877 , 2.5896127681841965
374 , 225 , 10243 , 2.2333420547706266
375 , 219 , 14383 , 3.1360108145822436
376 , 188 , 16085 , 3.5071079713936864
377 , 135 , 16776 , 3.6577708006279437
378 , 306 , 14261 , 3.1094104308390023
379 , 313 , 18833 , 4.106270713413571
380 , 194 , 15676 , 3.4179312750741317
381 , 198 , 12900 , 2.8126635269492417
382 , 175 , 12596 , 2.74638060352346
383 , 247 , 17675 , 3.853785103785104
384 , 278 , 19062 , 4.156200941915227
385 , 234 , 16901 , 3.685025292168149
386 , 232 , 11769 , 2.566064887493459
387 , 295 , 15961 , 3.480071515785801
388 , 248 , 17573 , 3.8315454386882966
389 , 289 , 15430 , 3.3642944357230076
390 , 170 , 11834 , 2.580237223094366
391 , 151 , 14958 , 3.2613814756671893
392 , 268 , 12999 , 2.8342490842490844
393 , 268 , 13005 , 2.835557299843014
394 , 259 , 12981 , 2.830324437467294
395 , 238 , 12891 , 2.8107012035583465
396 , 326 , 20936 , 4.564800279085992
397 , 207 , 12973 , 2.828580150008721
398 , 277 , 14686 , 3.2020757020757014
399 , 292 , 19216 , 4.189778475492761
400 , 204 , 18533 , 4.040859933717075
401 , 325 , 13026 , 2.8401360544217686
402 , 210 , 13489 , 2.9410866910866913
403 , 160 , 14566 , 3.175911390197106
404 , 261 , 12797 , 2.7902058259201117
405 , 176 , 11532 , 2.514390371533228
406 , 321 , 16035 , 3.496206174777604
407 , 254 , 13869 , 3.0239403453689166
408 , 268 , 12922 , 2.8174603174603177
409 , 423 , 24262 , 5.28998778998779
410 , 249 , 10595 , 2.3100907029478464
411 , 235 , 13132 , 2.8632478632478624
412 , 235 , 16897 , 3.684153148438863
413 , 274 , 15709 , 3.425126460840746
414 , 176 , 11947 , 2.604875283446712
415 , 302 , 16559 , 3.6104570033141457
416 , 306 , 18352 , 4.001395429966858
417 , 224 , 12590 , 2.745072387929531
418 , 248 , 12195 , 2.6589481946624796
419 , 235 , 13954 , 3.0424733996162576
420 , 188 , 15771 , 3.438644688644689
421 , 303 , 16825 , 3.668454561311703
422 , 234 , 12889 , 2.8102651316937033
423 , 274 , 16601 , 3.619614512471656
424 , 174 , 15294 , 3.3346415489272636
425 , 223 , 13330 , 2.9064189778475495
426 , 272 , 14398 , 3.139281353567067
427 , 272 , 14397 , 3.139063317634746
428 , 234 , 12777 , 2.7858451072736785
429 , 242 , 12908 , 2.8144078144078146
430 , 267 , 13503 , 2.9441391941391943
431 , 213 , 12192 , 2.658294086865516
432 , 152 , 14069 , 3.0675475318332466
433 , 250 , 15070 , 3.285801500087215
434 , 204 , 15265 , 3.328318506889935
435 , 253 , 12477 , 2.7204343275771845
436 , 270 , 14185 , 3.092839699982558
437 , 246 , 10677 , 2.327969649398221
438 , 231 , 19066 , 4.157073085644513
439 , 401 , 18629 , 4.061791383219955
440 , 266 , 17406 , 3.7951334379905806
441 , 233 , 13758 , 2.9997383568812146
442 , 186 , 16188 , 3.5295656724228155
443 , 337 , 15126 , 3.2980115122972262
444 , 197 , 12150 , 2.649136577708006
445 , 249 , 13024 , 2.839699982557126
446 , 155 , 14670 , 3.198587127158555
447 , 358 , 21249 , 4.63304552590267
448 , 281 , 12080 , 2.6338740624454915
449 , 170 , 10625 , 2.3166317809174957
450 , 250 , 12525 , 2.730900052328624
451 , 324 , 14911 , 3.2511337868480727
452 , 246 , 15856 , 3.4571777428920294
453 , 225 , 13971 , 3.0461800104657244
454 , 291 , 13477 , 2.938470259898831
455 , 277 , 14872 , 3.242630385487528
456 , 231 , 14348 , 3.1283795569509856
457 , 261 , 14919 , 3.2528780743066457
458 , 166 , 16513 , 3.6004273504273496
459 , 242 , 17752 , 3.8705738705738697
460 , 239 , 10103 , 2.202817024245596
461 , 258 , 16722 , 3.6459968602825743
462 , 280 , 19052 , 4.15402058259201
463 , 229 , 15329 , 3.3422728065585203
464 , 235 , 18791 , 4.097113204256062
465 , 359 , 18270 , 3.9835164835164827
466 , 256 , 14251 , 3.1072300715157857
467 , 264 , 14433 , 3.146912611198325
468 , 185 , 8363 , 1.8234345020059304
469 , 253 , 15154 , 3.3041165184022327
470 , 290 , 16007 , 3.4901011686725973
471 , 322 , 18426 , 4.017530088958661
472 , 284 , 13012 , 2.837083551369266
473 , 219 , 12676 , 2.763823478109192
474 , 294 , 10891 , 2.374629338915053
475 , 319 , 17162 , 3.741932670504099
476 , 293 , 14116 , 3.077795220652362
477 , 277 , 13484 , 2.9399965114250834
478 , 196 , 12106 , 2.6395429966858535
479 , 293 , 16913 , 3.6876417233560095
480 , 245 , 13073 , 2.8503837432408865
481 , 164 , 14078 , 3.06950985522414
482 , 338 , 14111 , 3.0767050409907553
483 , 282 , 14267 , 3.1107186464329324
484 , 274 , 16213 , 3.535016570730857
485 , 244 , 11534 , 2.5148264433978706
486 , 247 , 16819 , 3.6671463457177738
487 , 253 , 13664 , 2.97924297924298
488 , 237 , 13499 , 2.9432670504099074
489 , 207 , 14518 , 3.165445665445666
490 , 250 , 21548 , 4.6982382696668425
491 , 271 , 20823 , 4.540162218733646
492 , 236 , 11623 , 2.5342316413744985
493 , 286 , 16614 , 3.6224489795918373
494 , 192 , 12016 , 2.6199197627769055
495 , 289 , 14261 , 3.109410430839002
496 , 334 , 15038 , 3.2788243502529224
497 , 271 , 12805 , 2.7919501133786855
498 , 194 , 13825 , 3.0143467643467656
499 , 229 , 14078 , 3.0695098552241404
500 , 309 , 14904 , 3.2496075353218212
501 , 252 , 14351 , 3.12903366474795
502 , 286 , 12305 , 2.682932147217862
503 , 202 , 11498 , 2.5069771498342934
504 , 150 , 13302 , 2.9003139717425435
505 , 218 , 14510 , 3.163701377987093
506 , 250 , 16895 , 3.683717076574219
507 , 132 , 9436 , 2.057387057387057
508 , 278 , 16748 , 3.651665794522938
509 , 193 , 12785 , 2.7875893947322523
510 , 205 , 12110 , 2.6404151404151404
511 , 289 , 9944 , 2.1681493110064545
512 , 182 , 13238 , 2.8863596720739566
513 , 142 , 11354 , 2.4755799755799752
514 , 254 , 11137 , 2.428266178266177
515 , 322 , 11293 , 2.462279783708355
516 , 182 , 11859 , 2.5856881214024074
517 , 244 , 12351 , 2.692961800104657
518 , 270 , 11266 , 2.4563928135356714
519 , 201 , 12559 , 2.7383132740275604
520 , 353 , 14227 , 3.101997209140066
521 , 302 , 15480 , 3.3751962323390896
522 , 338 , 17813 , 3.88387406244549
