I,H,S,P
149 , 289 , 16601 , 4.002941743827161
150 , 259 , 12821 , 3.091483410493828
151 , 239 , 16333 , 3.9383198302469125
152 , 317 , 16344 , 3.9409722222222228
153 , 329 , 22227 , 5.359519675925927
154 , 301 , 17949 , 4.327980324074073
155 , 226 , 13831 , 3.335021219135802
156 , 234 , 19269 , 4.646267361111108
157 , 263 , 18977 , 4.575858410493828
158 , 258 , 11308 , 2.7266589506172845
159 , 290 , 26461 , 6.380449459876543
160 , 204 , 15282 , 3.6848958333333335
161 , 296 , 18365 , 4.428288966049382
162 , 206 , 17437 , 4.204523533950618
163 , 330 , 19747 , 4.761525848765431
164 , 238 , 14171 , 3.41700424382716
165 , 218 , 14519 , 3.500916280864198
166 , 239 , 12104 , 2.918595679012346
167 , 318 , 14023 , 3.3813175154320994
168 , 326 , 19539 , 4.711371527777778
169 , 367 , 19470 , 4.694733796296296
170 , 314 , 20411 , 4.921633873456789
171 , 195 , 15275 , 3.6832079475308643
172 , 238 , 16550 , 3.990644290123457
173 , 202 , 18607 , 4.486641589506174
174 , 231 , 19559 , 4.7161940586419755
175 , 303 , 23176 , 5.588348765432099
176 , 260 , 19450 , 4.689911265432099
177 , 298 , 18807 , 4.534866898148148
178 , 221 , 11794 , 2.8438464506172836
179 , 253 , 14280 , 3.443287037037039
180 , 280 , 30144 , 7.268518518518518
181 , 206 , 17072 , 4.116512345679012
182 , 279 , 20213 , 4.873890817901234
183 , 254 , 19276 , 4.64795524691358
184 , 253 , 16150 , 3.894193672839506
185 , 275 , 15189 , 3.6624710648148144
186 , 82 , 14551 , 3.508632330246913
187 , 309 , 18690 , 4.506655092592591
188 , 331 , 23005 , 5.547116126543208
189 , 149 , 15413 , 3.716483410493827
190 , 372 , 23572 , 5.6838348765432105
191 , 267 , 19292 , 4.651813271604938
192 , 290 , 15647 , 3.7729070216049387
193 , 261 , 15254 , 3.6781442901234573
194 , 280 , 18897 , 4.556568287037037
195 , 312 , 16933 , 4.0829957561728385
196 , 240 , 17450 , 4.207658179012347
197 , 221 , 18170 , 4.381269290123458
198 , 313 , 17626 , 4.250096450617284
