I,S,P
530,9380,1.2037678704345371
531,8219,1.054772721439388
532,12340,1.5836349169682502
533,13651,1.7518800852134186
534,11713,1.5031698365031696
535,12055,1.5470598803932132
536,11316,1.4522214522214525
537,11270,1.4463181129847793
538,11302,1.4504247837581172
539,11590,1.4873848207181546
600,12326,1.5818382485049152
601,14831,1.9033135699802368
602,11995,1.5393598726932058
603,16253,2.0858037524704183
604,19762,2.5361258694592017
605,20582,2.641359308025974
606,10329,1.3255563255563259
607,13390,1.718385051718385
608,15825,2.0308770308770314
609,10568,1.3562280228946901
610,12903,1.655886655886656
611,17087,2.1928338595005266
612,14860,1.9070352403685733
613,19257,2.4713174713174717
614,15693,2.0139370139370136
615,15172,1.947075280408614
616,22952,2.945509612176279
617,17653,2.2654705988039323
618,15167,1.94643361310028
619,18440,2.3664690331356995
620,20599,2.643540976874309
621,15762,2.0227920227920233
622,21129,2.711557711557712
623,16082,2.0638587305253973
624,14120,1.812068478735145
625,18475,2.370960704294038
626,14849,1.905623572290239
627,12392,1.5903082569749238
628,14436,1.8526218526218527
629,14088,1.807961807961808
630,8165,1.0478427145093812
631,8858,1.13677780344447
632,12254,1.5725982392649056
633,9805,1.2583095916429252
634,10589,1.3589230255896925
635,12101,1.552963219629886
636,7801,1.0011293344626675
637,10757,1.3804830471497145
638,12548,1.6103282769949436
639,8481,1.0883960883960884
700,13749,1.7644567644567646
701,11612,1.490208156874823
702,14935,1.916660249993584
703,15889,2.039090372423705
704,15452,1.9830086496753159
705,19510,2.5037858371191697
706,16657,2.137650470983804
707,21547,2.7652010985344315
708,18522,2.376992376992377
709,19885,2.5519108852442183
710,18391,2.3601806935140264
711,16060,2.0610353943687283
712,17924,2.300248966915634
713,14156,1.8166884833551495
714,21549,2.765457765457765
715,19364,2.4850491517158178
716,19737,2.532917532917533
717,20335,2.6096609429942763
718,17415,2.2349272349272358
719,21403,2.7467210800544133
720,12947,1.6615333281999944
721,15654,2.008932008932009
722,18978,2.435512435512435
723,18111,2.3242473242473243
724,16271,2.0881137547804216
725,14155,1.8165601498934831
726,13471,1.7287800621133955
727,12302,1.578758245424912
728,10606,1.3611046944380276
729,10940,1.403968070634737
730,14008,1.7976951310284643
731,18146,2.3287389954056623
732,19109,2.4523241189907856
733,22205,2.8496445163111828
734,20752,2.663175996509329
735,18186,2.333872333872334
736,20904,2.682682682682683
737,25558,3.2799466132799466
738,24312,3.12004312004312
739,29386,3.771207104540438
800,38120,4.892071558738226
801,33349,4.279792613125947
802,52523,6.740458407125075
803,61929,7.947562947562945
804,56932,7.306280639613973
805,38550,4.9472549472549465
