I,H,S,P
1 , 20 , 4793 , 1.3686152229532167
2 , 102 , 5609 , 1.6016196089181285
3 , 116 , 7197 , 2.055064418859649
4 , 94 , 6126 , 1.7492461622807018
5 , 42 , 5295 , 1.5119586074561404
6 , 114 , 8684 , 2.4796692251461994
7 , 64 , 6450 , 1.8417626096491229
8 , 137 , 11198 , 3.197528326023392
9 , 193 , 6405 , 1.8289131030701755
10 , 44 , 5594 , 1.5973364400584797
11 , 236 , 5951 , 1.6992758589181292
12 , 52 , 6382 , 1.8223455774853803
13 , 203 , 9319 , 2.660990040204678
14 , 156 , 6250 , 1.7846536915204674
15 , 195 , 10532 , 3.007355628654971
16 , 140 , 6500 , 1.8560398391812867
17 , 200 , 8897 , 2.5404902229532156
18 , 162 , 8934 , 2.5510553728070176
19 , 117 , 10602 , 3.02734375
20 , 96 , 7358 , 2.101037097953216
21 , 229 , 10767 , 3.07445860745614
22 , 147 , 7730 , 2.2072596856725144
23 , 190 , 6985 , 1.9945289656432748
24 , 163 , 9901 , 2.8271769919590644
25 , 174 , 11053 , 3.1561243603801175
26 , 217 , 10245 , 2.9254043311403506
27 , 226 , 11321 , 3.232650310672515
28 , 113 , 8330 , 2.3785864400584793
29 , 164 , 7785 , 2.2229646381578947
30 , 243 , 12977 , 3.705512152777778
31 , 149 , 7137 , 2.0379317434210527
32 , 172 , 7454 , 2.1284493786549707
33 , 172 , 7568 , 2.1610014619883042
34 , 112 , 9153 , 2.6135896381578947
35 , 235 , 11763 , 3.3588610197368425
36 , 233 , 15013 , 4.286880939327484
37 , 238 , 11271 , 3.2183730811403524
38 , 304 , 16778 , 4.790867141812865
39 , 215 , 17009 , 4.856827942251462
40 , 136 , 9531 , 2.721525493421053
41 , 225 , 11694 , 3.3391584429824563
42 , 154 , 13950 , 3.983347039473685
43 , 168 , 12533 , 3.5787303545321643
44 , 195 , 19890 , 5.679481907894735
45 , 217 , 13915 , 3.97335297880117
46 , 206 , 14241 , 4.066440515350878
47 , 161 , 11456 , 3.2711988304093564
48 , 186 , 9783 , 2.7934827302631575
49 , 218 , 14758 , 4.21406706871345
50 , 278 , 11820 , 3.375137061403509
51 , 358 , 12664 , 3.6161366959064325
52 , 314 , 10616 , 3.031341374269006
53 , 203 , 9728 , 2.777777777777778
54 , 316 , 13966 , 3.987915752923977
55 , 265 , 18968 , 5.416209795321637
56 , 245 , 12622 , 3.6041438230994154
57 , 166 , 9298 , 2.654993603801169
